Marca,Modelo,Código API
Audi,TTRS 2.5 TFSI QUATTRO S Tronic,6258
Audi,TTRS Roadster 2.5 TB FSI Quat. S Tronic,6259
Audi,TTS 2.0 TFSI QUATTRO S Tronic,5128
Audi,TTS Roadster 2.0 TB FSI Quattro S Tronic,5129
BMW,116iA 1.6 TB 16V 136cv 5p,6146
BMW,118i M Sport 1.5 TB 12V Aut. 5p,9955
BMW,118i Sport 1.5 TB 12V Aut. 5p,8946
BMW,118iA 2.0 16V 136cv 3p,5576
BMW,118iA 2.0 16V 136cv 5p,4960
BMW,118iA Full 1.6 TB 16V 170cv 5p,6147
BMW,118iA/ Urban/Sport 1.6 TB 16V 170cv 5p,5923
BMW,120i 2.0 16V 150cv/ 156cv 5p,152
BMW,120iA 2.0 16V 150cv/ 156cv 5p,153
BMW,120iA 2.0 16V 156cv 3p,4700
BMW,120iA Cabrio 2.0 16V 156cv 2p,4683
BMW,120iA Sport 2.0/ActiveFlex 16V Aut.,7178
BMW,125i M Sport/Active Flex 2.0 TB Aut. 5p,6377
BMW,130i 3.0 24V 265cv 5p,3879
BMW,130iA 3.0 24V 265cv 3p,4473
BMW,130iA 3.0 24V 265cv 5p,4199
BMW,135iA Coupé 3.0 24V 306cv,4961
BMW,218i Gran Coupe M Sport 1.5 Bi-Turbo,11119
BMW,218i Gran Coupe Sport GP 1.5 Bi-Turbo,9036
BMW,220i Tourer Active Flex 2.0 TB Aut.,7448
BMW,225i Active Tourer Sport 2.0 TB Aut.,7129
BMW,316 (todas),154
BMW,316i 1.6 TB 16V 136cv 4p,6660
BMW,318i Cabrio 1.8 16V,155
BMW,318i/iA 1.8 16V,156
BMW,318i/iA Compact 1.8 16V,157
BMW,318iA 2.0 16V 136cv 5p,5607
BMW,318iS/ISA 1.9 16V,158
BMW,318Ti Compact Mec,159
BMW,318Ti/TiA Compact 1.9 16V,160
BMW,320i,161
BMW,320iA,162
BMW,320iA 2.0 TB M Sport A.Flex/M.Sport 4p,7256
BMW,320iA 2.0 Turbo/ActiveFlex 16V/GP  4p,6090
BMW,320iA GT Sport 2.0 Turbo 16V 184cv 5p,6609
BMW,320iA Modern/Sport TB 2.0/A.Flex/GP 4p,6091
BMW,323Ci Coupê,163
BMW,323CiA Coupê,164
BMW,323i 2.5 24V,165
BMW,323i Confort,166
BMW,323i Sport,167
BMW,323i Touring,168
BMW,323i/iA Exclusive,172
BMW,323iA 2.5 24V,169
BMW,323iA Confort,170
BMW,323iA Entry Sedan,171
BMW,323iA Sport,173
BMW,323iA Top Sedan,174
BMW,323iA Touring,175
BMW,323Ti Compact,176
BMW,323Ti Compact Sport,177
BMW,323TiA Compact Top,178
BMW,325i,179
BMW,325i/iA Cabrio,180
BMW,325iA,181
BMW,325iA 2.5 24V Protection,182
BMW,325iA Coupé 2.5 24V 2p,183
BMW,325iA Touring,3955
BMW,328i Exclusive 2.8 24V,184
BMW,328i Touring/Sport,185
BMW,328i/iA (modelo antigo),186
BMW,328i/iA (novo modelo),187
BMW,328i/iA Cabrio,188
BMW,328iA 2.0 TB/2.0 TB Flex 16V 4p,6046
BMW,328iA Exclusive 2.8 24V,189
BMW,328iA GT M Sport 2.0 Turbo 16V 245cv 5p,6633
BMW,328iA Luxury/Modern 2.0 TB 16V 4p,6047
BMW,328iA M Sport 2.0 16V Flex 4p,7303
BMW,328iA Plus 2.0 TB 16V 245cv 4p,6048
BMW,328iA Sport 2.0 16V/2.0 16V Flex 4p,6049
BMW,328iA Touring/Sport,190
BMW,330Ci Cabriolet,191
BMW,330CiA Cabriolet,192
BMW,330e M Sport 2.0 Turbo Aut. (Híbrido),9956
BMW,330i M Sport 2.0 TB 16V 4p,8630
BMW,330i MotorSport 3.0 24V 4p,193
BMW,330i Sport 2.0 TB 16V 4p,8688
BMW,330iA Exclusive 3.0 24V 4p,3956
BMW,330iA MotorSport 4p,194
BMW,330iA Top 4p,195
BMW,335i 3.0 Active 3 (Híbrido),9957
BMW,335iA 3.0 24V 306cv,4272
BMW,335iA Cabriolet 3.0 24V 306cv,4416
BMW,335iA M Sport 3.0 24V 306cv 4p,6513
BMW,335iA Sport 3.0 24V 306cv 4p,6148
BMW,420i Cabriolet M Sport 2.0 TB 16V 2p.,9785
BMW,420i Cabriolet Sport 2.0 TB 184cv 2p,7083
BMW,428i Cabriolet Sport 2.0 TB 245cv 2p,6952
BMW,428i Gran Coupe M Sport 2.0 TB 245cv,7084
BMW,428i Gran Coupe Sport 2.0 TB 245cv,7085
BMW,430i Cab. Sport Limited Ed.2.0 TB 2p,7728
BMW,430i Cabriolet M Sport 2.0 TB 258cv 2p,9442
BMW,430i Cabriolet Sport 2.0 TB 252cv 2p,7875
BMW,430i Gran Coupé M Sport TB 5p,7729
BMW,435iA M Sport Coupe 3.0 24V 306cv 2p,6691
BMW,520i 2.0 16V,196
BMW,525i/iA,197
